Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MAE part2,,,,2023-11-07 00:30:55,2023-11-07 00:31:15,20.496s,FAILED
,,,,,,,
Test Cases/Grand Showcase/MAE,,,,2023-11-07 00:30:57,2023-11-07 00:31:15,17.973s,FAILED
"startApplication(""com.maybank2u.life.uat"", false)",,,,2023-11-07 00:31:00,2023-11-07 00:31:14,14.283s,FAILED
"getText(findTestObject(""Object Repository/showcaseNov2023/MAE/android.widget.TextView - Secure2u""), 0)",,,,2023-11-07 00:31:14,2023-11-07 00:31:15,0.992s,PASSED
